,Appetizers,Beverages,Breads,Breakfast and Brunch,Cocktails,Condiments and Sauces,Desserts,Lunch,Main Dishes,Salads,Side Dishes,Snacks,Soups
Black-Bean-Brownies-with-Pomegranates-989303,0,0,0,0,0,0,1,0,0,0,0,0,0
Black-Bottom-Brownies-489995,0,0,0,0,0,0,1,0,0,0,0,0,0
Black-Forest-Brownie-Bars-1634811,0,0,0,0,0,0,1,0,0,0,0,0,0
Black-and-Tan-Brownies-1085278,0,0,0,0,0,0,1,0,0,0,0,0,0
Blackberry-Salted-Caramel-Brownies-1622793,0,0,0,0,0,0,1,0,0,0,0,0,0
Blackberry-_-Mint-Brownie-Parfait-515932,0,0,0,0,0,0,1,0,0,0,0,0,0
Blonde-Orange-Brownies-1598040,0,0,0,0,0,0,1,0,0,0,0,0,0
Blueberry-Brownies-1177890,0,0,0,0,0,0,1,0,0,0,0,0,0
Blueberry-Brownies-791822,0,0,0,0,0,0,1,0,0,0,0,0,0
Bourbon-Brown-Sugar-Brownies-1071605,0,0,0,0,0,0,1,0,0,0,0,0,0
Breakfast-Oatmeal-Brownies-with-Raw-Chocolate-Sauce-1685969,0,0,0,1,0,0,1,0,0,0,0,0,0
Brown-Butter-Brownies-578305,0,0,0,0,0,0,1,0,0,0,0,0,0
Brown-Butter-Cupcake-Brownies-1559630,0,0,0,0,0,0,1,0,0,0,0,0,0
Brownie-549174,0,0,0,0,0,0,1,0,0,0,0,0,0
Brownie-Batter-Chia-_-Oats-1206355,0,0,0,0,0,0,1,0,0,0,0,0,0
Brownie-Batter-Oatmeal-1200870,0,0,0,1,0,0,0,0,0,0,0,0,0
Brownie-Batter-Smoothie-1185298,0,1,0,0,0,0,0,0,0,0,0,0,0
Brownie-Bottom-Cheesecake-1565643,0,0,0,0,0,0,1,0,0,0,0,0,0
Brownie-Bottom-Cheesecake-Bars-1198134,0,0,0,0,0,0,1,0,0,0,0,0,0
Brownie-Bowl-Sundaes-627734,0,0,0,0,0,0,1,0,0,0,0,0,0
Brownie-Cookies-1072620,0,0,0,0,0,0,1,0,0,0,0,0,0
Brownie-Cookies-1297561,0,0,0,0,0,0,1,0,0,0,0,0,0
Brownie-Cookies-1357192,0,0,0,0,0,0,1,0,0,0,0,0,0
Brownie-Cookies-Martha-Stewart,0,0,0,0,0,0,1,0,0,0,0,0,0
Brownie-Cupcakes-1605366,0,0,0,0,0,0,1,0,0,0,0,0,0
Brownie-Frosting-Allrecipes,0,0,0,0,0,0,1,0,0,0,0,0,0
Brownie-Magic-Mallow-Bars-1546367,0,0,0,0,0,0,1,1,0,0,0,0,0
Brownie-Mallow-Bars-TasteOfHome,0,0,0,0,0,0,1,0,0,0,0,0,0
Brownie-Mix-Cookies-with-Cream-Cheese-Frosting-1584131,0,0,0,0,0,0,1,0,0,0,0,0,0
Brownie-Pizza-1342187,0,0,0,0,0,0,1,0,0,0,0,0,0
Brownie-Pizza-1431352,0,0,0,0,0,0,1,0,0,0,0,0,0
Brownie-Pudding-Cake-998697,0,0,0,0,0,0,1,0,0,0,0,0,0
Brownie-Refrigerator-Cake-576243,0,0,0,0,0,0,1,0,0,0,0,0,0
Brownie-Stuffed-Chocolate-Chip-Cookies-1583027,0,0,0,0,0,0,1,0,0,0,0,0,0
Brownie-Sundae-Nutella-Cupcakes-1304226,0,0,0,0,0,0,1,0,0,0,0,0,0
Brownie-Tree-1426490,0,0,0,0,0,0,1,0,0,0,0,0,0
Brownie-Trifle-1512792,0,0,0,0,0,0,1,0,0,0,0,0,0
Brownie-Truffles-903075,0,0,0,0,0,0,1,0,0,0,0,0,0
Brownie-Veggies-1550304,0,0,0,0,0,0,1,0,0,0,0,0,0
Brownie-Walnut-Pie-1591943,0,0,0,0,0,0,1,0,0,0,0,0,0
Brownie-banana-bread-cupcakes-333565,0,0,0,0,0,0,1,0,0,0,0,0,0
Brownie-in-a-Mug-1222579,0,0,0,0,0,0,1,0,0,0,0,0,0
Brownie-in-a-Mug-626050,0,0,0,0,0,0,1,0,0,0,0,0,0
Brownies-1269215,0,0,0,0,0,0,1,0,0,0,0,0,0
Brownies-531586,0,0,0,0,0,0,1,0,0,0,0,0,0
Brownies-631879,0,0,0,0,0,0,1,0,0,0,0,0,0
Brownies-In-A-Jar-Allrecipes,0,0,0,0,0,0,1,0,0,0,0,0,0
Brownies-with-Sea-Salt-494700,0,0,0,0,0,0,1,0,0,0,0,0,0
Buddy-Valastros-Brownies-1122693,0,0,0,0,0,0,1,0,0,0,0,0,0
Buried-Treasure-Brownies-782541,0,0,0,0,0,0,1,0,0,0,0,0,0
Butterfinger-Cheesecake-Brownies-1563722,0,0,0,0,0,0,1,0,0,0,0,0,0
Butterscotch-Cheesecake-Brownies-1074422,0,0,0,0,0,0,1,0,0,0,0,0,0
Butterscotch-brownies-365333,0,0,0,0,0,0,1,0,0,0,0,0,0
Cadbury-Cream-Egg-Brownies-_from-scratch_-1548685,0,0,0,0,0,0,1,0,0,0,0,0,0
Cadbury-Egg-Brownies-1528720,0,0,0,0,0,0,1,0,0,0,0,0,0
Can_t-Tell-They_re-Low_fat-Brownies-Allrecipes,0,0,0,0,0,0,1,0,0,0,0,0,0
Candy-Topped-Brownie-Torte-1207121,0,0,0,0,0,0,1,0,0,0,0,0,0
Cappuccino-Cream-Cheese-Brownies-1107716,0,0,0,0,0,0,1,0,0,0,0,0,0
Caramel-Apple-Brownies-895955,0,0,0,0,0,0,1,0,0,0,0,0,0
Caramel-Bourbon-Brownie-Milkshakes-1169032,0,1,0,0,1,0,1,0,0,0,0,0,0
Caramel-Crunch-Brownie-Skillet-1581566,0,0,0,0,0,0,1,0,0,0,0,0,0
Caramel-Pecan-_Turtle_-Brownies-478694,0,0,0,0,0,0,1,0,0,0,0,0,0
Cheesecake-Brownie-1084864,0,0,0,0,0,0,1,0,0,0,0,0,0
Cheesecake-Brownie-1333267,0,0,0,0,0,0,1,0,0,0,0,0,0
Cheesecake-Brownies-1238973,0,0,0,0,0,0,1,0,0,0,0,0,0
Cheesecake-Brownies-1331930,0,0,0,0,0,0,1,0,0,0,0,0,0
Cheesecake-Brownies-1405960,0,0,0,0,0,0,1,0,0,0,0,0,0
Cheesecake-Brownies-1565294,0,0,0,0,0,0,1,0,0,0,0,0,0
Cheesecake-Brownies-489740,0,0,0,0,0,0,1,0,0,0,0,0,0
Cheesecake-Brownies-Martha-Stewart-192011,0,0,0,0,0,0,1,0,0,0,0,0,0
Cheesecake-Marbled-Brownies-571677,0,0,0,0,0,0,1,0,0,0,0,0,0
Cheesecake-Swirl-Brownies-605003,0,0,0,0,0,0,1,0,0,0,0,0,0
Cherry-Chocolate-Chip-Brownies-1038304,0,0,0,0,0,0,1,0,0,0,0,0,0
Chewy-Brownies-1021001,0,0,0,0,0,0,1,0,0,0,0,0,0
Chewy-Brownies-Allrecipes,0,0,0,0,0,0,1,0,0,0,0,0,0
Chewy-Vegan-_-Paleo-Brownies-1282807,0,0,0,0,0,0,1,0,0,0,0,0,0
Chewy_-Fudgy-Triple-Chocolate-Brownies-475174,0,0,0,0,0,0,1,0,0,0,0,0,0
Chocolate-Brownie-Meets-Caramel-Fudge-1686859,0,0,0,0,0,0,1,0,0,0,0,0,0
Chocolate-Brownies-Martha-Stewart,0,0,0,0,0,0,1,0,0,0,0,0,0
Chocolate-Brownies-With-Salted-Caramel-Drizzle-1704883,0,0,0,0,0,0,1,0,0,0,0,0,0
Chocolate-Caramel-Brownies-1535466,0,0,0,0,0,0,1,0,0,0,0,0,0
Chocolate-Cheesecake-Brownies-1126030,0,0,0,0,0,0,1,0,0,0,0,0,0
Chocolate-Cheesecake-Brownies-1171725,0,0,0,0,0,0,1,0,0,0,0,0,0
Chocolate-Chip-Banana-Bread-Brownies-1533055,0,0,0,0,0,0,1,0,0,0,0,0,0
Chocolate-Chip-Brownies-1134187,0,0,0,0,0,0,1,0,0,0,0,0,0
Chocolate-Chip-Cookie-Brownie-Cups-1577742,0,0,0,0,0,0,1,0,0,0,0,0,0
Chocolate-Chip-Cookie-Brownie-Pie-1588815,0,0,0,0,0,0,1,0,0,0,0,0,0
Chocolate-Chip-Cookie-Brownies-902236,0,0,0,0,0,0,1,0,0,0,0,0,0
Chocolate-Coconut-Brownies-1591810,0,0,0,0,0,0,1,0,0,0,0,0,0
Chocolate-Ganache-Cookie-Dough-Brownies-1611220,0,0,0,0,0,0,1,0,0,0,0,0,0
Chocolate-Hazelnut-Iced-Brownies-1031548,0,0,0,0,0,0,1,0,0,0,0,0,0
Chocolate-Mint-Brownie-Bites-1643617,0,0,0,0,0,0,1,0,0,0,0,0,0
Chocolate-Mint-Brownie-Milkshake-1028683,0,1,0,0,0,0,1,0,0,0,0,0,0
Chocolate-Mint-Brownie-Trifles-532500,0,0,0,0,0,0,1,0,0,0,0,0,0
Chocolate-Mint-Brownies-1007090,0,0,0,0,0,0,1,0,0,0,0,0,0
Chocolate-Mint-Brownies-1599226,0,0,0,0,0,0,1,0,0,0,0,0,0
Chocolate-Pecan-Brownies-607305,0,0,0,0,0,0,1,0,0,0,0,0,0
Chocolate-Raspberry-Brownie-Trifles-761904,0,0,0,0,0,0,1,0,0,0,0,0,0
Chocolate-Raspberry-Brownies-1358790,0,0,0,0,0,0,1,0,0,0,0,0,0
Chocolate-Zucchini-Brownies-1599163,0,0,0,0,0,0,1,0,0,0,0,0,0
Chocolate-_-Peanut-Butter-Lover_s-Brownies-895795,0,0,0,0,0,0,1,0,0,0,0,0,0
Chocolate_Ginger-Brownies-Martha-Stewart,0,0,0,0,0,0,1,0,0,0,0,0,0
Christmas-Tree-Brownies-1362907,0,0,0,0,0,0,1,0,0,0,0,0,0
Chunks-Pepsi-Brownies-1125994,0,0,0,0,0,0,1,0,0,0,0,0,0
Chunky-Cheesecake-Brownies-636549,0,0,0,0,0,0,1,0,0,0,0,0,0
Cinnamon-Brownies-TasteOfHome,0,0,0,0,0,0,1,0,0,0,0,0,0
Cinnamon-Cacao-Brownies-593712,0,0,0,0,0,0,1,0,0,0,0,0,0
Cinnamon-S_mores-Brownies-1421179,0,0,0,0,0,0,0,0,0,0,0,0,0
Clean-Raspberry-Mocha-Brownies-1113557,0,0,0,0,0,0,1,0,0,0,0,0,0
Cocoa-Brownies-2_0-1196143,0,0,0,0,0,0,1,0,0,0,0,0,0
Cocoa-Brownies-747250,0,0,0,0,0,0,1,0,0,0,0,0,0
Coconut-Brownies-Sundae-1175674,0,0,0,0,0,0,1,0,0,0,0,0,0
Coconut-Butter-Brownies-623429,0,0,0,0,0,0,1,0,0,0,0,0,0
Coconut-Flour-Brownies-751287,0,0,0,0,0,0,1,0,0,0,0,0,0
Coconut-brownies-356759,0,0,0,0,0,0,1,0,0,0,0,0,0
Cookie-Dough-Brownie-Bars-1013780,0,0,0,0,0,0,1,0,0,0,0,0,0
Cookie-Dough-Brownie-Cake-622307,0,0,0,0,0,0,1,0,0,0,0,0,0
Cookie-Dough-Brownie-Cookies-1078050,0,0,0,0,0,0,1,0,0,0,0,0,0
Cookie-Dough-Brownies-1165386,0,0,0,0,0,0,1,0,0,0,0,0,0
Cookie-Dough-Brownies-1581246,0,0,0,0,0,0,1,0,0,0,0,0,0
Cookie-Dough-Brownies-995507,0,0,0,0,0,0,1,0,0,0,0,0,0
Cookie-Dough-Brownies-_recipe_-1630682,0,0,0,0,0,0,1,0,0,0,0,0,0
Cookie-Dough-Fudge-Brownies-636117,0,0,0,0,0,0,1,0,0,0,0,0,0
Cookie-Stuffed-Brownie-Cupcakes-1110394,0,0,0,0,0,0,1,0,0,0,0,0,0
Cookies-and-Cream-Brownies-1493343,0,0,0,0,0,0,1,0,0,0,0,0,0
Cookies-and-Cream-Cheesecake-Brownies-1124190,0,0,0,0,0,0,1,0,0,0,0,0,0
Cookies-n-Cream-Oreo-Fudge-Brownies-1278040,0,0,0,0,0,0,1,0,0,0,0,0,0
Copycat-Cosmic-Brownies-1016830,0,0,0,0,0,0,1,0,0,0,0,0,0
Copycat-Cosmic-Brownies-1513820,0,0,0,0,0,0,1,0,0,0,0,0,0
Copycat-Wendy_s-Frosty-1695928,0,0,0,0,0,0,1,0,0,0,0,0,0
Copycat-Zupas-Rockslide-Brownies-938965,0,0,0,0,0,0,1,0,0,0,0,0,0
Cream-Cheese-Brownie-Cookies-995318,0,0,0,0,0,0,1,0,0,0,0,0,0
Cream-Cheese-Brownies-1438096,0,0,0,0,0,0,1,0,0,0,0,0,0
Cream-Cheese-Brownies-TasteOfHome,0,0,0,0,0,0,1,0,0,0,0,0,0
Crock-Pot-Chocolate-Fudge-Brownie-1513453,0,0,0,0,0,0,1,0,0,0,0,0,0
Crustless-Brownie-Pie-1048137,0,0,0,0,0,0,1,0,0,0,0,0,0
Cupcake-Brownie-with-Funnel-Cake-_-Caramel-Sauce-1259664,0,0,0,0,0,0,1,0,0,0,0,0,0
Dark-Chocolate-Brownies-AllRecipes-39595,0,0,0,0,0,0,1,0,0,0,0,0,0
Dark-Chocolate-Brownies-My-Recipes_1,0,0,0,0,0,0,1,0,0,0,0,0,0
Dark-Chocolate-Brownies-with-Rhubarb-and-Rose-Ice-Cream-1700816,0,0,0,0,0,0,1,0,0,0,0,0,0
Dark-Chocolate-Peppermint-Brownies-1258574,0,0,0,0,0,0,1,0,0,0,0,0,0
Dark-_-Spicy-Fudge-Brownies-1013809,0,0,0,0,0,0,1,0,0,0,0,0,0
Death-by-Chocolate-Brownies-1206879,0,0,0,0,0,0,1,0,0,0,0,0,0
Delectable-Low-Carb-Brownies-1463929,0,0,0,0,0,0,1,0,0,0,0,0,0
Delicious-Healthy-Brownies-980878,0,0,0,0,0,0,1,0,0,0,0,0,0
Delicious-Sweet-Potato-Brownies-1562012,0,0,0,0,0,0,1,0,0,0,0,0,0
Derby-Pie-Brownies-1618768,0,0,0,0,0,0,1,0,0,0,0,0,0
Diet-Yogurt-Oatmeal-Brownie-1624983,0,0,0,0,0,0,0,0,0,0,0,0,0
Double-Chocolate-Brownies-1523754,0,0,0,0,0,0,1,0,0,0,0,0,0
Double-Chocolate-Brownies-632772,0,0,0,0,0,0,1,0,0,0,0,0,0
Double-Chocolate-Brownies-748457,0,0,0,0,0,0,1,0,0,0,0,0,0
Double-Chocolate-Snickers-Brownies-982403,0,0,0,0,0,0,1,0,0,0,0,0,0
Double-chocolate-cherry-quinoa-brownies-314514,0,0,0,0,0,0,1,0,0,0,0,0,0
EPIC-Rocky-Road-Brownies-1362984,0,0,0,0,0,0,1,0,0,0,0,0,0
Easter-Mini-Eggs-Brownies-1549569,0,0,0,0,0,0,1,0,0,0,0,0,0
Easy-5-Ingredient-Brownies_how-to-make-5-ingredient-brownies-1523687,0,0,0,0,0,0,1,0,0,0,0,0,0
Easy-Brownie-Cake-Pops-1389948,0,0,0,0,0,0,1,0,0,0,0,0,0
Easy-Brownies-1438084,0,0,0,0,0,0,1,0,0,0,0,0,0
Easy-Homemade-Saucepan-Brownies-1511395,0,0,0,0,0,0,1,0,0,0,0,0,0
Easy-Mini-Brownies-1490811,0,0,0,0,0,0,1,0,0,0,0,0,0
Easy-Mini-Minty-Brownies-1439804,0,0,0,0,0,0,1,0,0,0,0,0,0
Espresso-Brownies-With-Espresso-Frosting-1330049,0,0,0,0,0,0,1,0,0,0,0,0,0
Espresso-Liqueur-Brownie-Pudding-1217053,0,0,0,0,0,0,1,0,0,0,0,0,0
Espresso-Shortbread-Brownie-Bars-1020324,0,0,0,0,0,0,1,0,0,0,0,0,0
Extra-Nutty-Dark-Chocolate-Brownies-1016693,0,0,0,0,0,0,1,0,0,0,0,0,0
Extremely-Simple-Keto-Microwave-Brownies-1248096,0,0,0,0,0,0,1,0,0,0,0,0,0
Fatfree-and-Fabulous-Fudgy-Brownies-480972,0,0,0,0,0,0,1,0,0,0,0,0,0
Five-Ingredient-Guinness-Brownies-1541991,0,0,0,0,0,0,1,0,0,0,0,0,0
Floating-Brownie-Allrecipes,0,0,0,0,0,0,1,0,0,0,0,0,0
Flourless-Brownies-1091932,0,0,0,0,0,0,1,0,0,0,0,0,0
Flourless-Brownies-970892,0,0,0,0,0,0,1,0,0,0,0,0,0
Flourless-Chocolate-Brownies-1047139,0,0,0,0,0,0,1,0,0,0,0,0,0
Flourless-Chocolate-Brownies-1067280,0,0,0,0,0,0,1,0,0,0,0,0,0
Flourless-Mexican-Brownies-1101919,0,0,0,0,0,0,1,0,0,0,0,0,0
Fluffernutter-Fudge-Brownies-1367043,0,0,0,0,0,0,1,0,0,0,0,0,0
Food-Babe_s-Almond-Butter-Brownies-628132,0,0,0,0,0,0,1,0,0,0,0,0,0
Frankenstein-Brownies-1339446,0,0,0,0,0,0,1,0,0,0,0,0,0
Frosted-Chocolate-Brownies-1004464,0,0,0,0,0,0,1,0,0,0,0,0,0
Frosted-zucchini-brownies-370135,0,0,0,0,0,0,1,0,0,0,0,0,0
Fruitcake-Brownies-1443587,0,0,0,0,0,0,1,0,0,0,0,0,0
Fudge-Brownie-Cupcakes-with-Cookie-Dough-Frosting-625319,0,0,0,0,0,0,1,0,0,0,0,0,0
Fudge-Brownies-1405511,0,0,0,0,0,0,1,0,0,0,0,0,0
Fudge-Brownies-1551895,0,0,0,0,0,0,1,0,0,0,0,0,0
Fudge-Ripple-Pecan-Brownies-1509350,0,0,0,0,0,0,1,0,0,0,0,0,0
Fudgey-Walnut-Brownies-750008,0,0,0,0,0,0,1,0,0,0,0,0,0
Fudgey-brownie-cupcakes-333518,0,0,0,0,0,0,1,0,0,0,0,0,0
Fudgiest-Espresso-Cashew-Brownies-443248,0,0,0,0,0,0,1,0,0,0,0,0,0
Fudgy-Avocado-Brownies-with-Avocado-Frosting-1571564,0,0,0,0,0,0,1,0,0,0,0,0,0
Fudgy-Brownie-592626,0,0,0,0,0,0,1,0,0,0,0,0,0
Fudgy-Brownie-Ice-Cream-Sandwiches-1171271,0,0,0,0,0,0,1,1,0,0,0,0,0
Fudgy-Brownie-Waffles-930590,0,0,0,1,0,0,1,0,0,0,0,0,0
Fudgy-Brownies-1239320,0,0,0,0,0,0,1,0,0,0,0,0,0
Fudgy-Brownies-1328772,0,0,0,0,0,0,1,0,0,0,0,0,0
Fudgy-Brownies-1475679,0,0,0,0,0,0,1,0,0,0,0,0,0
Fudgy-Brownies-1512914,0,0,0,0,0,0,0,0,0,0,0,0,0
Fudgy-Brownies-My-Recipes,0,0,0,0,0,0,1,0,0,0,0,0,0
Fudgy-Frosted-Brownies-1569010,0,0,0,0,0,0,1,0,0,0,0,0,0
Fudgy-Gluten-Free-Vegan-Brownie-Bites-_-with-Among-Friends-Baking-Mixes-_-1690051,0,0,0,0,0,0,1,0,0,0,0,0,0
Fudgy-Homemade-Brownies-1275958,0,0,0,0,0,0,1,0,0,0,0,0,0
Fudgy-Homemade-Brownies-_Croissants_-Signature-Brownies_-1569769,0,0,0,0,0,0,1,0,0,0,0,0,0
Fudgy-Jam-Brownies-1217304,0,0,0,0,0,0,1,0,0,0,0,0,0
Fudgy-Mint-Meltaway-Brownies-534953,0,0,0,0,0,0,1,0,0,0,0,0,0
Fudgy-Strawberry-Shortbread-Brownies-1053588,0,0,0,0,0,0,1,0,0,0,0,0,0
Fudgy-Vegan-Brownies-1688517,0,0,0,0,0,0,1,0,0,0,0,0,0
Fudgy-brownies-369453,0,0,0,0,0,0,1,0,0,0,0,0,0
Gails-Fudge-Brownies-1170681,0,0,0,0,0,0,1,0,0,0,0,0,0
German-Chocolate-Brownies-1306639,0,0,0,0,0,0,1,0,0,0,0,0,0
German-Chocolate-Brownies-965143,0,0,0,0,0,0,1,0,0,0,0,0,0
Gianduia-Brownies-489789,0,0,0,0,0,0,1,0,0,0,0,0,0
Gingersnap-Molasses-Brownies-1304303,0,0,0,0,0,0,1,0,0,0,0,0,0
Gluten-Free-Brownie-Cake-1633030,0,0,0,0,0,0,1,0,0,0,0,0,0
Gluten-Free-Brownie-Trifle-1632733,0,0,0,0,0,0,1,0,0,0,0,0,0
Gluten-Free-Brownies-with-Mocha-Frosting-1110921,0,0,0,0,0,0,1,0,0,0,0,0,0
Gluten-Free-Chocolate-Chip-Cookie-Dough-Frosting-1696243,0,0,0,0,0,0,1,0,0,0,0,0,0
Gluten-Free-Double-Chocolate-Raspberry-Brownies-1594658,0,0,0,0,0,0,1,0,0,0,0,0,0
Gluten-Free-Fudgy-Brownie-Cupcakes-1698905,0,0,0,0,0,0,1,0,0,0,0,0,0
Gluten-Free-Fudgy-Brownies-1049169,0,0,0,0,0,0,1,0,0,0,0,0,0
Gluten-free-chocolate-brownies-307048,0,0,0,0,0,0,1,0,0,0,0,0,0
Gluten_-Grain_-_-Dairy-Free-Fudgy-Bean-Brownies-1685101,0,0,0,0,0,0,1,0,0,0,0,0,0
Grilled-S_more-Brownie-1269836,0,0,0,0,0,0,1,0,0,0,0,0,0
Guinness-Stout-Brownies-1368868,0,0,0,0,0,0,1,0,0,0,0,0,0
Hazelnut-Brownie-Batter-Overnight-Oats-1561466,0,0,0,0,0,0,1,0,0,0,0,0,0
Hazelnut-Cinnamon-Brownies-474219,0,0,0,0,0,0,1,0,0,0,0,0,0
Healthy-Blondie-Brownies-1475314,0,0,0,0,0,0,1,1,0,0,0,0,0
Healthy-Brownie-Batter-Dip-1113795,0,0,0,0,0,0,1,0,0,0,0,0,0
Healthy-Brownie-Recipe-_-Applesauce-Brownies-896752,0,0,0,0,0,0,1,0,0,0,0,0,0
Healthy-Brownies-1185311,0,0,0,0,0,0,1,0,0,0,0,0,0
Healthy-Chocolate-Chunk-Brownies-1067790,0,0,0,0,0,0,1,0,0,0,0,0,0
Heart-Cream-Filled-Brownies-1449033,0,0,0,0,0,0,1,0,0,0,0,0,0
Heart-Shaped-Brownies-1454348,0,0,0,0,0,0,1,0,0,0,0,0,0
Heath-Bar-Saucepan-Brownies-1614662,0,0,0,0,0,0,1,0,0,0,0,0,0
Homemade-Fudgy-Brownies-1379280,0,0,0,0,0,0,1,0,0,0,0,0,0
Hot-Fudge-Brownies-1364152,0,0,0,0,0,0,1,0,0,0,0,0,0
Ina-Gartens-Outrageous-Brownies-1023430,0,0,0,0,0,0,1,0,0,0,0,0,0
Irish-Cream-Brownies-Allrecipes,0,0,0,0,0,0,1,0,0,0,0,0,0
Irish-Cream-Swirl-Brownies-1038204,0,0,0,0,0,0,1,0,0,0,0,0,0
Jamaican-Coffee-Brownies-With-Pecans-Epicurious,0,0,0,0,0,0,1,0,0,0,0,0,0
Joan_s-Lunch-Lady-Brownies-1354504,0,0,0,0,0,0,1,0,0,0,0,0,0
Keto-Brownies-1378345,0,0,0,0,0,0,1,0,0,0,0,0,0
KitKat-Brownie-Bars-1171290,0,0,0,0,0,0,1,0,0,0,0,0,0
Leaky-Cauldron-Brownies-Halloween-Dessert-1079213,0,0,0,0,0,0,1,0,0,0,0,0,0
Lemon-Blondies_-a-light-and-dairy-free-version-of-Brownies-1125090,0,0,0,0,0,0,1,0,0,0,0,0,0
Lemon-Brownies-1069120,0,0,0,0,0,0,1,0,0,0,0,0,0
Lemon-Brownies-1598800,0,0,0,0,0,0,1,0,0,0,0,0,0
Lemonade-Brownies-885453,0,0,0,0,0,0,1,0,0,0,0,0,0
Lindor-Truffle-Brownies-1431574,0,0,0,0,0,0,1,0,0,0,0,0,0
Lindt-Truffle-Brownies-1195592,0,0,0,0,0,0,1,0,0,0,0,0,0
Love-Letter-Brownies-1480879,0,0,0,0,0,0,1,0,0,0,0,0,0
Lunch-Lady-Brownies-1272438,0,0,0,0,0,0,1,0,0,0,0,0,0
Lunch-Lady-Brownies-1312476,0,0,0,0,0,0,1,0,0,0,0,0,0
MARSHMALLOW-BROWNIES-1127821,0,0,0,0,0,0,1,0,0,0,0,0,0
MEXICAN-BROWNIES-1251598,0,0,0,0,0,0,1,0,0,0,0,0,0
M_M_S-Marbled-Brownies-1453336,0,0,0,0,0,0,1,0,0,0,0,0,0
Magic-Bar-Brownies-1127169,0,0,0,0,0,0,1,0,0,0,0,0,0
Marbled-Pumpkin-Chocolate-Brownies-1364556,0,0,0,0,0,0,1,0,0,0,0,0,0
Mark-Bittman_s-Brownies-Serious-Eats-280882,0,0,0,0,0,0,1,0,0,0,0,0,0
Marshmallow-Brownie-Cookies-1047637,0,0,0,0,0,0,1,0,0,0,0,0,0
